time,Ekin,Epot,Etot,temp
4.300000,771520.750962,49.026725,771569.777687,23315523.682563
4.400000,790659.814142,38.918133,790698.732275,23893910.304400
4.500000,811042.884526,76.634434,811119.518960,24509891.092582
4.600000,833392.936262,81.953851,833474.890113,25185314.481889
4.700000,851989.658833,94.005202,852083.664035,25747311.453445
4.800000,869328.740246,80.097531,869408.837778,26271302.237648
4.900000,886428.138972,100.594877,886528.733849,26788049.759266
5.000000,899556.412724,66.456221,899622.868944,27184789.026744
5.100000,908431.211057,48.469570,908479.680627,27452987.348647
5.200000,925116.855958,37.672146,925154.528104,27957231.140345
5.300000,951219.233236,94.001473,951313.234710,28746050.617786
5.400000,975245.874848,60.494755,975306.369604,29472140.915180
5.500000,995274.717411,68.697631,995343.415042,30077416.862115
5.600000,1014329.577922,38.721441,1014368.299364,30653258.861122
5.700000,1038460.993802,40.014019,1038501.007821,31382515.459506
5.800000,1057865.525335,77.434054,1057942.959389,31968924.592304
5.900000,1070556.893781,17.999989,1070574.893770,32352460.487097
6.000000,1090363.356806,80.405495,1090443.762301,32951016.076370
6.100000,1104684.106982,56.021610,1104740.128592,33383792.238854
6.200000,1112899.264796,57.434594,1112956.699390,33632056.081831
6.300000,1136842.008813,20.457171,1136862.465985,34355610.975805
6.400000,1171356.258060,76.186817,1171432.444877,35398639.040433
6.500000,1201040.601064,50.047048,1201090.648111,36295706.295513
6.600000,1230392.456401,73.210816,1230465.667217,37182725.701532
6.700000,1261996.807330,78.213458,1262075.020788,38137816.010685
6.800000,1283852.591751,68.496464,1283921.088214,38798302.535026
6.900000,1305507.089949,84.664254,1305591.754203,39452706.146278
7.000000,1319729.144109,73.203818,1319802.347926,39882499.693834
7.100000,1334336.025618,57.369700,1334393.395317,40323922.806978
7.200000,1346773.216959,17.329372,1346790.546331,40699777.414780
7.300000,1363758.925589,40.982339,1363799.907928,41213089.197166
7.400000,1376695.223025,52.568778,1376747.791803,41604026.898917
7.500000,1399380.848333,99.185173,1399480.033506,42289591.394070
7.600000,1426329.015743,79.436537,1426408.452280,43103970.831912
7.700000,1440180.327741,96.054120,1440276.381861,43522560.471284
7.800000,1441641.892415,57.422107,1441699.314522,43566729.271309
7.900000,1446976.756537,71.980303,1447048.736840,43727950.017013
8.000000,1463252.883869,43.049748,1463295.933618,44219818.099368
8.100000,1491163.455729,74.705827,1491238.161556,45063281.607474
8.200000,1517186.719832,74.439020,1517261.158851,45849710.267665
8.300000,1532912.002592,66.784658,1532978.787249,46324931.708105
8.400000,1541774.605334,65.232909,1541839.838242,46592761.476603
8.500000,1543817.775941,46.512230,1543864.288171,46654506.533529
8.600000,1573523.153476,77.780830,1573600.934306,47552209.456679
8.700000,1607140.775032,75.996370,1607216.771402,48568141.238887
8.800000,1625684.144678,61.207594,1625745.352272,49128525.873521
8.900000,1652228.939166,46.398209,1652275.337375,49930715.294569
9.000000,1664144.649455,16.870873,1664161.520328,50290810.632351
9.100000,1669341.473245,39.256626,1669380.729870,50447859.769393
9.200000,1688291.380543,102.521824,1688393.902367,51020530.059661
9.300000,1704075.208501,73.065719,1704148.274220,51497520.748622
9.400000,1708016.497850,91.958438,1708108.456288,51616627.363753
9.500000,1721088.241276,94.810758,1721183.052033,52011658.272569
9.600000,1730314.434465,88.022711,1730402.457177,52290475.822895
9.700000,1751308.911132,51.634453,1751360.545585,52924933.440938
9.800000,1773056.057992,18.599064,1773074.657056,53582136.914730
9.900000,1784400.248738,42.832349,1784443.081087,53924960.808546
