time,temperature,pressure,lattice,pos1,pos2
0.136000,1663.139987,45039.236742,4.070483,-0.100824,-0.019042,0.119902
0.137000,1654.615355,45331.074677,4.070753,-0.088274,-0.026640,0.123298
0.138000,1645.349899,45648.026627,4.071025,-0.075467,-0.034017,0.126618
0.139000,1635.404856,45984.789996,4.071298,-0.062407,-0.041148,0.129859
0.140000,1624.848810,46345.295283,4.071574,-0.049099,-0.048011,0.133018
0.141000,1613.764569,46727.447783,4.071852,-0.035549,-0.054586,0.136092
0.142000,1602.256612,47128.946844,4.072133,-0.021763,-0.060855,0.139076
0.143000,1590.455893,47544.829513,4.072416,-0.007747,-0.066799,0.141968
0.144000,1578.520332,47972.073125,4.072701,0.006488,-0.072405,0.144767
0.145000,1566.636205,48405.877195,4.072990,0.020934,-0.077659,0.147468
0.146000,1555.015496,48845.909725,4.073280,0.035579,-0.082552,0.150070
0.147000,1543.887286,49288.775537,4.073574,0.050406,-0.087075,0.152572
0.148000,1533.491047,49727.781238,4.073870,0.065402,-0.091223,0.154973
0.149000,1524.069400,50155.919672,4.074169,0.080545,-0.094990,0.157272
0.150000,1515.857157,50569.032454,4.074470,0.095813,-0.098377,0.159470
0.151000,1509.071257,50961.873499,4.074774,0.111183,-0.101384,0.161568
0.152000,1503.903642,51328.040105,4.075079,0.126627,-0.104012,0.163567
0.153000,1500.514347,51662.348321,4.075387,0.142113,-0.106267,0.165470
0.154000,1499.020758,51957.270866,4.075697,0.157610,-0.108153,0.167282
0.155000,1499.495682,52210.712217,4.076008,0.173081,-0.109680,0.169007
0.156000,1501.971609,52419.978544,4.076320,0.188490,-0.110855,0.170651
0.157000,1506.438855,52586.385434,4.076633,0.203796,-0.111689,0.172221
0.158000,1512.846893,52713.672012,4.076947,0.218959,-0.112193,0.173725
0.159000,1521.109539,52799.108202,4.077262,0.233937,-0.112379,0.175171
0.160000,1531.108874,52840.217735,4.077577,0.248689,-0.112260,0.176568
0.161000,1542.699298,52838.725653,4.077892,0.263170,-0.111848,0.177927
0.162000,1555.711066,52803.579797,4.078207,0.277340,-0.111158,0.179259
0.163000,1569.953152,52739.287514,4.078521,0.291157,-0.110204,0.180574
0.164000,1585.216571,52656.421176,4.078835,0.304582,-0.109000,0.181884
0.165000,1601.274450,52555.058885,4.079149,0.317579,-0.107559,0.183199
0.166000,1617.881035,52443.990800,4.079461,0.330112,-0.105898,0.184529
0.167000,1634.772983,52329.930401,4.079773,0.342150,-0.104030,0.185885
0.168000,1651.672156,52210.061326,4.080085,0.353667,-0.101969,0.187276
0.169000,1668.289348,52089.931716,4.080395,0.364637,-0.099732,0.188709
0.170000,1684.331126,51974.730103,4.080705,0.375042,-0.097332,0.190191
0.171000,1699.508543,51867.871528,4.081015,0.384865,-0.094785,0.191726
0.172000,1713.544970,51772.876900,4.081324,0.394098,-0.092106,0.193318
0.173000,1726.183837,51697.130094,4.081632,0.402733,-0.089311,0.194967
0.174000,1737.197843,51642.982786,4.081940,0.410769,-0.086415,0.196672
0.175000,1746.399553,51615.832626,4.082248,0.418210,-0.083435,0.198430
0.176000,1753.652167,51615.836015,4.082556,0.425062,-0.080386,0.200234
0.177000,1758.877835,51639.053781,4.082865,0.431337,-0.077284,0.202078
0.178000,1762.060132,51682.909605,4.083173,0.437049,-0.074147,0.203951
0.179000,1763.244877,51743.542937,4.083482,0.442217,-0.070991,0.205843
0.180000,1762.538158,51816.161535,4.083791,0.446861,-0.067833,0.207741
0.181000,1760.100011,51899.785444,4.084101,0.451004,-0.064689,0.209631
0.182000,1756.135226,51987.369118,4.084411,0.454672,-0.061575,0.211497
0.183000,1750.883431,52067.863951,4.084722,0.457890,-0.058508,0.213325
0.184000,1744.610231,52138.423873,4.085034,0.460687,-0.055504,0.215097
0.185000,1737.596702,52191.598890,4.085345,0.463089,-0.052578,0.216799
0.186000,1730.132393,52222.898527,4.085657,0.465125,-0.049745,0.218413
0.187000,1722.506956,52221.054489,4.085969,0.466824,-0.047019,0.219924
0.188000,1715.002218,52179.700950,4.086281,0.468212,-0.044414,0.221317
0.189000,1707.890263,52102.830008,4.086592,0.469317,-0.041942,0.222577
0.190000,1701.428245,51984.332534,4.086903,0.470164,-0.039616,0.223692
0.191000,1695.849468,51823.349580,4.087212,0.470779,-0.037445,0.224649
0.192000,1691.353021,51620.895985,4.087521,0.471185,-0.035440,0.225437
0.193000,1688.094094,51382.704234,4.087828,0.471403,-0.033609,0.226047
0.194000,1686.176637,51113.925754,4.088133,0.471457,-0.031960,0.226469
0.195000,1685.647733,50821.406846,4.088437,0.471363,-0.030499,0.226697
0.196000,1686.493996,50510.912553,4.088739,0.471141,-0.029231,0.226726
0.197000,1688.642434,50183.922613,4.089039,0.470807,-0.028161,0.226551
0.198000,1691.966261,49852.798852,4.089337,0.470375,-0.027292,0.226170
0.199000,1696.290752,49528.753080,4.089633,0.469859,-0.026625,0.225581
0.200000,1701.400144,49214.756746,4.089927,0.469270,-0.026162,0.224785
