time,temperature,pressure,lattice,pos1,pos2
0.126000,1605.645707,44070.698967,4.068683,0.266692,-0.235773,-0.006531
0.127000,1606.038004,43770.012871,4.068957,0.264022,-0.245948,-0.006462
0.128000,1606.005549,43496.727928,4.069229,0.260635,-0.256053,-0.006196
0.129000,1605.676101,43251.469747,4.069500,0.256524,-0.266052,-0.005740
0.130000,1605.166242,43038.205908,4.069770,0.251687,-0.275909,-0.005106
0.131000,1604.578797,42857.911458,4.070038,0.246121,-0.285587,-0.004305
0.132000,1604.001884,42709.647761,4.070306,0.239826,-0.295053,-0.003350
0.133000,1603.507113,42593.768549,4.070572,0.232807,-0.304274,-0.002256
0.134000,1603.146972,42509.278610,4.070839,0.225068,-0.313217,-0.001038
0.135000,1602.954799,42448.898874,4.071104,0.216621,-0.321854,0.000285
0.136000,1602.950648,42408.556373,4.071370,0.207479,-0.330155,0.001696
0.137000,1603.146037,42392.616844,4.071636,0.197656,-0.338093,0.003175
0.138000,1603.548814,42399.958362,4.071901,0.187175,-0.345644,0.004700
0.139000,1604.167280,42427.745236,4.072167,0.176058,-0.352783,0.006251
0.140000,1605.016369,42467.879243,4.072433,0.164331,-0.359488,0.007804
0.141000,1606.126745,42516.263991,4.072700,0.152026,-0.365739,0.009336
0.142000,1607.550754,42570.242063,4.072966,0.139176,-0.371514,0.010821
0.143000,1609.361350,42624.781849,4.073234,0.125816,-0.376797,0.012236
0.144000,1611.649172,42674.057399,4.073501,0.111985,-0.381567,0.013555
0.145000,1614.522190,42713.008351,4.073769,0.097723,-0.385809,0.014753
0.146000,1618.096616,42731.259103,4.074037,0.083073,-0.389505,0.015804
0.147000,1622.484835,42733.972332,4.074305,0.068079,-0.392640,0.016685
0.148000,1627.782923,42713.962182,4.074572,0.052784,-0.395197,0.017371
0.149000,1634.056434,42669.690767,4.074840,0.037234,-0.397161,0.017840
0.150000,1641.331324,42601.990859,4.075107,0.021475,-0.398519,0.018070
0.151000,1649.589928,42509.873164,4.075374,0.005553,-0.399255,0.018040
0.152000,1658.764004,42396.734901,4.075639,-0.010488,-0.399357,0.017734
0.153000,1668.729556,42268.440642,4.075905,-0.026603,-0.398813,0.017135
0.154000,1679.311210,42132.576746,4.076169,-0.042748,-0.397611,0.016230
0.155000,1690.293483,41999.455398,4.076432,-0.058880,-0.395741,0.015008
0.156000,1701.434251,41871.558910,4.076695,-0.074957,-0.393196,0.013461
0.157000,1712.479141,41752.005639,4.076957,-0.090940,-0.389967,0.011584
0.158000,1723.177312,41653.179787,4.077218,-0.106790,-0.386050,0.009374
0.159000,1733.301115,41580.224208,4.077479,-0.122469,-0.381442,0.006831
