time,temperature,pressure,lattice,pos1,pos2
0.180000,774.110133,15623.000693,4.060816,0.024625,0.022493,0.086566
0.181000,777.438544,15594.937063,4.060909,0.019433,0.023185,0.084707
0.182000,780.093301,15590.903836,4.061001,0.014221,0.023940,0.082888
0.183000,782.026816,15609.865879,4.061094,0.008989,0.024761,0.081106
0.184000,783.205114,15651.793315,4.061187,0.003739,0.025650,0.079363
0.185000,783.606915,15717.942971,4.061280,-0.001527,0.026610,0.077656
0.186000,783.224695,15808.140849,4.061374,-0.006808,0.027641,0.075987
0.187000,782.064630,15917.391106,4.061469,-0.012101,0.028746,0.074352
0.188000,780.146348,16047.511325,4.061564,-0.017407,0.029926,0.072751
0.189000,777.502635,16200.080064,4.061660,-0.022724,0.031184,0.071182
0.190000,774.178663,16372.705571,4.061757,-0.028053,0.032519,0.069643
0.191000,770.230362,16562.166100,4.061856,-0.033392,0.033934,0.068132
0.192000,765.723200,16763.378949,4.061955,-0.038742,0.035428,0.066646
0.193000,760.730885,16973.435893,4.062056,-0.044103,0.037004,0.065183
0.194000,755.334104,17190.353852,4.062158,-0.049475,0.038662,0.063740
0.195000,749.619131,17412.022567,4.062262,-0.054860,0.040402,0.062314
0.196000,743.675874,17639.835312,4.062366,-0.060258,0.042225,0.060902
0.197000,737.595381,17870.022421,4.062472,-0.065670,0.044131,0.059501
0.198000,731.467839,18096.843807,4.062580,-0.071096,0.046121,0.058106
0.199000,725.381657,18317.220000,4.062689,-0.076539,0.048194,0.056715
0.200000,719.423105,18530.616507,4.062799,-0.081998,0.050350,0.055324
0.201000,713.674477,18733.642320,4.062910,-0.087475,0.052589,0.053930
0.202000,708.213073,18921.133757,4.063022,-0.092970,0.054911,0.052529
0.203000,703.111754,19089.854993,4.063136,-0.098485,0.057314,0.051118
0.204000,698.437452,19241.215167,4.063250,-0.104018,0.059799,0.049694
0.205000,694.250603,19371.674577,4.063365,-0.109571,0.062363,0.048254
0.206000,690.605404,19479.229659,4.063481,-0.115143,0.065006,0.046796
0.207000,687.550301,19564.311630,4.063597,-0.120732,0.067727,0.045317
0.208000,685.128462,19626.984918,4.063714,-0.126338,0.070522,0.043816
0.209000,683.376863,19665.027185,4.063830,-0.131957,0.073391,0.042291
0.210000,682.325169,19675.454913,4.063947,-0.137586,0.076331,0.040742
