time,q1,q2,q3,Ekin,Epot,Etot
0.013700,-0.003863,0.005363,0.098591,0.017392,0.438233,0.455625
0.013800,-0.003662,0.005618,0.098198,0.023359,0.432264,0.455623
0.013900,-0.003455,0.005940,0.097749,0.030350,0.425270,0.455620
0.014000,-0.003242,0.006329,0.097244,0.038325,0.417292,0.455617
0.014100,-0.003023,0.006782,0.096685,0.047238,0.408376,0.455614
0.014200,-0.002799,0.007300,0.096072,0.057034,0.398576,0.455610
0.014300,-0.002568,0.007881,0.095405,0.067654,0.387952,0.455606
0.014400,-0.002331,0.008524,0.094686,0.079032,0.376570,0.455602
0.014500,-0.002088,0.009228,0.093914,0.091097,0.364500,0.455597
0.014600,-0.001838,0.009990,0.093092,0.103776,0.351817,0.455592
0.014700,-0.001580,0.010809,0.092220,0.116987,0.338600,0.455587
0.014800,-0.001316,0.011684,0.091298,0.130650,0.324932,0.455582
0.014900,-0.001043,0.012612,0.090329,0.144678,0.310898,0.455576
0.015000,-0.000762,0.013591,0.089313,0.158986,0.296585,0.455571
0.015100,-0.000473,0.014620,0.088251,0.173483,0.282082,0.455565
0.015200,-0.000174,0.015696,0.087145,0.188082,0.267477,0.455559
0.015300,0.000134,0.016816,0.085996,0.202692,0.252862,0.455554
0.015400,0.000452,0.017979,0.084805,0.217226,0.238323,0.455548
0.015500,0.000781,0.019181,0.083574,0.231596,0.223948,0.455543
0.015600,0.001121,0.020420,0.082304,0.245716,0.209822,0.455538
0.015700,0.001472,0.021693,0.080997,0.259506,0.196027,0.455533
0.015800,0.001836,0.022997,0.079654,0.272885,0.182643,0.455528
0.015900,0.002212,0.024330,0.078277,0.285780,0.169744,0.455524
0.016000,0.002602,0.025689,0.076868,0.298118,0.157402,0.455520
0.016100,0.003005,0.027070,0.075428,0.309835,0.145681,0.455516
0.016200,0.003423,0.028470,0.073958,0.320870,0.134642,0.455513
0.016300,0.003856,0.029887,0.072462,0.331170,0.124339,0.455510
0.016400,0.004305,0.031317,0.070939,0.340687,0.114820,0.455507
0.016500,0.004770,0.032758,0.069393,0.349378,0.106127,0.455505
0.016600,0.005252,0.034205,0.067824,0.357211,0.098292,0.455503
0.016700,0.005752,0.035656,0.066236,0.364157,0.091345,0.455502
0.016800,0.006269,0.037107,0.064629,0.370196,0.085305,0.455501
0.016900,0.006805,0.038556,0.063005,0.375316,0.080185,0.455501
0.017000,0.007360,0.039999,0.061367,0.379511,0.075990,0.455501
0.017100,0.007935,0.041433,0.059716,0.382782,0.072720,0.455502
0.017200,0.008530,0.042855,0.058054,0.385139,0.070364,0.455502
0.017300,0.009146,0.044261,0.056382,0.386596,0.068907,0.455504
0.017400,0.009782,0.045649,0.054704,0.387178,0.068327,0.455506
0.017500,0.010441,0.047016,0.053019,0.386913,0.068595,0.455508
0.017600,0.011121,0.048357,0.051332,0.385836,0.069675,0.455510
0.017700,0.011824,0.049672,0.049642,0.383987,0.071526,0.455513
0.017800,0.012549,0.050956,0.047953,0.381414,0.074103,0.455517
0.017900,0.013298,0.052207,0.046265,0.378167,0.077353,0.455520
0.018000,0.014070,0.053422,0.044581,0.374301,0.081223,0.455524
0.018100,0.014866,0.054598,0.042902,0.369876,0.085652,0.455528
0.018200,0.015686,0.055733,0.041230,0.364953,0.090579,0.455532
0.018300,0.016530,0.056824,0.039567,0.359598,0.095938,0.455536
0.018400,0.017398,0.057869,0.037915,0.353878,0.101663,0.455540
0.018500,0.018291,0.058865,0.036274,0.347859,0.107685,0.455544
0.018600,0.019208,0.059811,0.034647,0.341612,0.113937,0.455549
0.018700,0.020149,0.060704,0.033035,0.335205,0.120348,0.455553
0.018800,0.021115,0.061542,0.031440,0.328705,0.126852,0.455557
0.018900,0.022105,0.062324,0.029863,0.322181,0.133381,0.455561
0.019000,0.023120,0.063047,0.028306,0.315696,0.139870,0.455565
0.019100,0.024158,0.063711,0.026769,0.309313,0.146256,0.455569
0.019200,0.025221,0.064313,0.025255,0.303092,0.152480,0.455572
0.019300,0.026307,0.064852,0.023764,0.297089,0.158486,0.455576
0.019400,0.027416,0.065328,0.022298,0.291356,0.164223,0.455579
0.019500,0.028548,0.065739,0.020858,0.285940,0.169641,0.455581
0.019600,0.029702,0.066083,0.019445,0.280884,0.174700,0.455584
0.019700,0.030878,0.066361,0.018060,0.276224,0.179361,0.455586
0.019800,0.032076,0.066572,0.016704,0.271993,0.183594,0.455587
0.019900,0.033294,0.066715,0.015378,0.268217,0.187372,0.455588
0.020000,0.034533,0.066791,0.014083,0.264914,0.190675,0.455589
0.020100,0.035790,0.066798,0.012820,0.262100,0.193490,0.455590
0.020200,0.037067,0.066737,0.011589,0.259780,0.195810,0.455590
0.020300,0.038362,0.066607,0.010391,0.257956,0.197633,0.455589
0.020400,0.039673,0.066410,0.009228,0.256623,0.198965,0.455589
0.020500,0.041001,0.066146,0.008099,0.255770,0.199818,0.455588
0.020600,0.042343,0.065815,0.007004,0.255379,0.200208,0.455586
0.020700,0.043700,0.065418,0.005946,0.255426,0.200158,0.455584
0.020800,0.045070,0.064956,0.004923,0.255883,0.199699,0.455582
0.020900,0.046452,0.064429,0.003936,0.256717,0.198863,0.455580
0.021000,0.047845,0.063840,0.002985,0.257889,0.197689,0.455577
0.021100,0.049247,0.063189,0.002072,0.259354,0.196220,0.455574
0.021200,0.050658,0.062478,0.001195,0.261068,0.194504,0.455571
0.021300,0.052076,0.061708,0.000355,0.262978,0.192590,0.455568
0.021400,0.053500,0.060882,-0.000448,0.265031,0.190533,0.455564
0.021500,0.054928,0.060000,-0.001215,0.267172,0.188388,0.455561
0.021600,0.056359,0.059065,-0.001944,0.269343,0.186214,0.455557
0.021700,0.057792,0.058078,-0.002636,0.271486,0.184067,0.455553
0.021800,0.059225,0.057043,-0.003292,0.273540,0.182009,0.455550
0.021900,0.060657,0.055961,-0.003912,0.275448,0.180098,0.455546
0.022000,0.062086,0.054835,-0.004496,0.277149,0.178393,0.455542
0.022100,0.063510,0.053668,-0.005043,0.278588,0.176951,0.455539
0.022200,0.064929,0.052460,-0.005556,0.279708,0.175828,0.455535
0.022300,0.066340,0.051217,-0.006033,0.280456,0.175076,0.455532
0.022400,0.067742,0.049939,-0.006476,0.280784,0.174745,0.455529
0.022500,0.069133,0.048631,-0.006885,0.280644,0.174882,0.455527
0.022600,0.070512,0.047295,-0.007261,0.279995,0.175529,0.455525
0.022700,0.071877,0.045933,-0.007604,0.278800,0.176723,0.455522
0.022800,0.073226,0.044549,-0.007914,0.277024,0.178496,0.455521
0.022900,0.074558,0.043146,-0.008193,0.274643,0.180876,0.455519
0.023000,0.075871,0.041728,-0.008441,0.271634,0.183884,0.455518
0.023100,0.077164,0.040296,-0.008659,0.267982,0.187536,0.455518
0.023200,0.078434,0.038854,-0.008847,0.263679,0.191839,0.455518
0.023300,0.079680,0.037407,-0.009007,0.258721,0.196797,0.455518
0.023400,0.080901,0.035955,-0.009139,0.253113,0.202405,0.455519
0.023500,0.082095,0.034504,-0.009243,0.246866,0.208653,0.455520
0.023600,0.083261,0.033056,-0.009321,0.239998,0.215524,0.455521
0.023700,0.084396,0.031614,-0.009374,0.232531,0.222992,0.455523
0.023800,0.085499,0.030181,-0.009402,0.224497,0.231029,0.455526
0.023900,0.086569,0.028761,-0.009406,0.215932,0.239596,0.455528
0.024000,0.087604,0.027357,-0.009387,0.206879,0.248652,0.455531
0.024100,0.088603,0.025972,-0.009346,0.197387,0.258148,0.455535
0.024200,0.089564,0.024609,-0.009284,0.187509,0.268030,0.455538
0.024300,0.090486,0.023270,-0.009201,0.177304,0.278238,0.455542
0.024400,0.091368,0.021960,-0.009099,0.166836,0.288711,0.455546
0.024500,0.092207,0.020680,-0.008978,0.156171,0.299379,0.455551
0.024600,0.093004,0.019434,-0.008839,0.145382,0.310174,0.455555
0.024700,0.093756,0.018224,-0.008683,0.134541,0.321019,0.455560
0.024800,0.094463,0.017053,-0.008511,0.123725,0.331840,0.455565
0.024900,0.095123,0.015924,-0.008323,0.113012,0.342558,0.455570
0.025000,0.095736,0.014838,-0.008121,0.102480,0.353095,0.455575
0.025100,0.096300,0.013800,-0.007905,0.092208,0.363372,0.455580
0.025200,0.096814,0.012810,-0.007676,0.082277,0.373308,0.455585
0.025300,0.097277,0.011871,-0.007435,0.072764,0.382826,0.455590
0.025400,0.097689,0.010985,-0.007182,0.063745,0.391850,0.455594
0.025500,0.098049,0.010154,-0.006918,0.055294,0.400304,0.455599
0.025600,0.098356,0.009380,-0.006644,0.047484,0.408119,0.455603
0.025700,0.098609,0.008664,-0.006360,0.040382,0.415225,0.455607
0.025800,0.098808,0.008009,-0.006067,0.034051,0.421560,0.455611
0.025900,0.098953,0.007415,-0.005766,0.028550,0.427064,0.455614
0.026000,0.099042,0.006884,-0.005457,0.023934,0.431683,0.455617
0.026100,0.099076,0.006417,-0.005140,0.020250,0.435370,0.455620
0.026200,0.099054,0.006015,-0.004816,0.017540,0.438082,0.455622
0.026300,0.098976,0.005679,-0.004486,0.015841,0.439783,0.455624
0.026400,0.098842,0.005410,-0.004150,0.015179,0.440446,0.455625
0.026500,0.098651,0.005208,-0.003808,0.015577,0.440048,0.455626
0.026600,0.098405,0.005074,-0.003460,0.017049,0.438577,0.455626
0.026700,0.098102,0.005008,-0.003107,0.019602,0.436025,0.455626
0.026800,0.097743,0.005010,-0.002750,0.023233,0.432393,0.455626
0.026900,0.097328,0.005080,-0.002388,0.027934,0.427691,0.455625
0.027000,0.096857,0.005218,-0.002021,0.033688,0.421935,0.455623
0.027100,0.096332,0.005424,-0.001650,0.040472,0.415149,0.455621
0.027200,0.095751,0.005697,-0.001275,0.048254,0.407365,0.455619
0.027300,0.095117,0.006037,-0.000895,0.056995,0.398621,0.455616
0.027400,0.094428,0.006442,-0.000511,0.066649,0.388964,0.455613
0.027500,0.093687,0.006913,-0.000123,0.077163,0.378446,0.455609
0.027600,0.092894,0.007448,0.000269,0.088480,0.367125,0.455605
0.027700,0.092049,0.008045,0.000665,0.100535,0.355066,0.455601
0.027800,0.091153,0.008704,0.001066,0.113257,0.342339,0.455596
0.027900,0.090208,0.009423,0.001472,0.126572,0.329018,0.455591
0.028000,0.089214,0.010201,0.001882,0.140403,0.315183,0.455586
0.028100,0.088172,0.011035,0.002297,0.154665,0.300916,0.455580
0.028200,0.087084,0.011924,0.002718,0.169274,0.286301,0.455575
0.028300,0.085951,0.012866,0.003144,0.184141,0.271428,0.455569
0.028400,0.084774,0.013859,0.003576,0.199178,0.256385,0.455564
0.028500,0.083554,0.014900,0.004014,0.214295,0.241263,0.455558
0.028600,0.082293,0.015988,0.004459,0.229399,0.226153,0.455552
0.028700,0.080992,0.017120,0.004910,0.244401,0.211145,0.455547
0.028800,0.079652,0.018293,0.005369,0.259213,0.196328,0.455541
0.028900,0.078275,0.019505,0.005836,0.273746,0.181790,0.455536
0.029000,0.076863,0.020753,0.006311,0.287915,0.167616,0.455531
0.029100,0.075417,0.022035,0.006795,0.301639,0.153887,0.455526
0.029200,0.073939,0.023347,0.007288,0.314840,0.140681,0.455521
0.029300,0.072431,0.024687,0.007791,0.327444,0.128073,0.455517
0.029400,0.070894,0.026052,0.008303,0.339382,0.116131,0.455513
0.029500,0.069329,0.027438,0.008827,0.350590,0.104920,0.455509
0.029600,0.067740,0.028844,0.009361,0.361011,0.094495,0.455506
0.029700,0.066127,0.030264,0.009908,0.370593,0.084911,0.455503
0.029800,0.064493,0.031697,0.010466,0.379291,0.076210,0.455501
0.029900,0.062838,0.033140,0.011038,0.387067,0.068432,0.455499
0.030000,0.061166,0.034588,0.011623,0.393891,0.061607,0.455498
0.030100,0.059478,0.036040,0.012221,0.399739,0.055758,0.455497
0.030200,0.057776,0.037491,0.012834,0.404594,0.050903,0.455496
0.030300,0.056061,0.038939,0.013462,0.408447,0.047049,0.455496
0.030400,0.054337,0.040379,0.014105,0.411299,0.044197,0.455496
0.030500,0.052603,0.041810,0.014764,0.413155,0.042342,0.455497
0.030600,0.050864,0.043228,0.015439,0.414028,0.041471,0.455499
0.030700,0.049120,0.044630,0.016131,0.413939,0.041561,0.455500
0.030800,0.047373,0.046013,0.016840,0.412916,0.042586,0.455502
0.030900,0.045625,0.047373,0.017567,0.410993,0.044512,0.455505
0.031000,0.043878,0.048708,0.018312,0.408209,0.047299,0.455508
0.031100,0.042134,0.050015,0.019075,0.404611,0.050900,0.455511
0.031200,0.040395,0.051290,0.019856,0.400250,0.055265,0.455515
0.031300,0.038663,0.052532,0.020657,0.395182,0.060336,0.455518
0.031400,0.036938,0.053737,0.021476,0.389468,0.066055,0.455522
0.031500,0.035224,0.054902,0.022316,0.383170,0.072356,0.455526
0.031600,0.033522,0.056026,0.023174,0.376358,0.079173,0.455531
0.031700,0.031833,0.057105,0.024053,0.369100,0.086435,0.455535
0.031800,0.030160,0.058137,0.024951,0.361468,0.094072,0.455540
0.031900,0.028503,0.059120,0.025870,0.353534,0.102011,0.455544
0.032000,0.026865,0.060052,0.026808,0.345371,0.110178,0.455549
0.032100,0.025247,0.060931,0.027767,0.337054,0.118500,0.455554
0.032200,0.023650,0.061755,0.028745,0.328654,0.126904,0.455558
0.032300,0.022077,0.062521,0.029744,0.320242,0.135321,0.455562
