q1,q2,q3,frequencies
0.000000,0.000000,0.000000,-49258.333333
0.000000,0.000000,0.000000,-49250.000000
0.000000,0.000000,0.000000,-49241.666667
0.000000,0.000000,0.000000,-49233.333333
0.000000,0.000000,0.000000,-49225.000000
0.000000,0.000000,0.000000,-49216.666667
0.000000,0.000000,0.000000,-49208.333333
0.000000,0.000000,0.000000,-49200.000000
0.000000,0.000000,0.000000,-49191.666667
0.000000,0.000000,0.000000,-49183.333333
0.000000,0.000000,0.000000,-49175.000000
0.000000,0.000000,0.000000,-49166.666667
0.000000,0.000000,0.000000,-49158.333333
0.000000,0.000000,0.000000,-49150.000000
0.000000,0.000000,0.000000,-49141.666667
0.000000,0.000000,0.000000,-49133.333333
0.000000,0.000000,0.000000,-49125.000000
0.000000,0.000000,0.000000,-49116.666667
0.000000,0.000000,0.000000,-49108.333333
0.000000,0.000000,0.000000,-49100.000000
0.000000,0.000000,0.000000,-49091.666667
0.000000,0.000000,0.000000,-49083.333333
0.000000,0.000000,0.000000,-49075.000000
0.000000,0.000000,0.000000,-49066.666667
0.000000,0.000000,0.000000,-49058.333333
0.000000,0.000000,0.000000,-49050.000000
0.000000,0.000000,0.000000,-49041.666667
0.000000,0.000000,0.000000,-49033.333333
0.000000,0.000000,0.000000,-49025.000000
0.000000,0.000000,0.000000,-49016.666667
0.000000,0.000000,0.000000,-49008.333333
0.000000,0.000000,0.000000,-49000.000000
0.000000,0.000000,0.000000,-48991.666667
0.000000,0.000000,0.000000,-48983.333333
0.000000,0.000000,0.000000,-48975.000000
0.000000,0.000000,0.000000,-48966.666667
0.000000,0.000000,0.000000,-48958.333333
0.000000,0.000000,0.000000,-48950.000000
0.000000,0.000000,0.000000,-48941.666667
0.000000,0.000000,0.000000,-48933.333333
0.000000,0.000000,0.000000,-48925.000000
0.000000,0.000000,0.000000,-48916.666667
0.000000,0.000000,0.000000,-48908.333333
0.000000,0.000000,0.000000,-48900.000000
0.000000,0.000000,0.000000,-48891.666667
0.000000,0.000000,0.000000,-48883.333333
0.000000,0.000000,0.000000,-48875.000000
0.000000,0.000000,0.000000,-48866.666667
0.000000,0.000000,0.000000,-48858.333333
0.000000,0.000000,0.000000,-48850.000000
0.000000,0.000000,0.000000,-48841.666667
0.000000,0.000000,0.000000,-48833.333333
0.000000,0.000000,0.000000,-48825.000000
0.000000,0.000000,0.000000,-48816.666667
0.000000,0.000000,0.000000,-48808.333333
0.000000,0.000000,0.000000,-48800.000000
0.000000,0.000000,0.000000,-48791.666667
0.000000,0.000000,0.000000,-48783.333333
0.000000,0.000000,0.000000,-48775.000000
0.000000,0.000000,0.000000,-48766.666667
0.000000,0.000000,0.000000,-48758.333333
0.000000,0.000000,0.000000,-48750.000000
0.000000,0.000000,0.000000,-48741.666667
0.000000,0.000000,0.000000,-48733.333333
0.000000,0.000000,0.000000,-48725.000000
0.000000,0.000000,0.000000,-48716.666667
0.000000,0.000000,0.000000,-48708.333333
0.000000,0.000000,0.000000,-48700.000000
0.000000,0.000000,0.000000,-48691.666667
0.000000,0.000000,0.000000,-48683.333333
0.000000,0.000000,0.000000,-48675.000000
0.000000,0.000000,0.000000,-48666.666667
0.000000,0.000000,0.000000,-48658.333333
0.000000,0.000000,0.000000,-48650.000000
0.000000,0.000000,0.000000,-48641.666667
0.000000,0.000000,0.000000,-48633.333333
0.000000,0.000000,0.000000,-48625.000000
0.000000,0.000000,0.000000,-48616.666667
0.000000,0.000000,0.000000,-48608.333333
0.000000,0.000000,0.000000,-48600.000000
0.000000,0.000000,0.000000,-48591.666667
0.000000,0.000000,0.000000,-48583.333333
0.000000,0.000000,0.000000,-48575.000000
0.000000,0.000000,0.000000,-48566.666667
0.000000,0.000000,0.000000,-48558.333333
0.000000,0.000000,0.000000,-48550.000000
0.000000,0.000000,0.000000,-48541.666667
0.000000,0.000000,0.000000,-48533.333333
0.000000,0.000000,0.000000,-48525.000000
0.000000,0.000000,0.000000,-48516.666667
0.000000,0.000000,0.000000,-48508.333333
0.000000,0.000000,0.000000,-48500.000000
0.000000,0.000000,0.000000,-48491.666667
0.000000,0.000000,0.000000,-48483.333333
0.000000,0.000000,0.000000,-48475.000000
0.000000,0.000000,0.000000,-48466.666667
0.000000,0.000000,0.000000,-48458.333333
0.000000,0.000000,0.000000,-48450.000000
0.000000,0.000000,0.000000,-48441.666667
0.000000,0.000000,0.000000,-48433.333333
0.000000,0.000000,0.000000,-48425.000000
0.000000,0.000000,0.000000,-48416.666667
0.000000,0.000000,0.000000,-48408.333333
0.000000,0.000000,0.000000,-48400.000000
0.000000,0.000000,0.000000,-48391.666667
0.000000,0.000000,0.000000,-48383.333333
0.000000,0.000000,0.000000,-48375.000000
0.000000,0.000000,0.000000,-48366.666667
0.000000,0.000000,0.000000,-48358.333333
0.000000,0.000000,0.000000,-48350.000000
0.000000,0.000000,0.000000,-48341.666667
0.000000,0.000000,0.000000,-48333.333333
0.000000,0.000000,0.000000,-48325.000000
0.000000,0.000000,0.000000,-48316.666667
0.000000,0.000000,0.000000,-48308.333333
0.000000,0.000000,0.000000,-48300.000000
0.000000,0.000000,0.000000,-48291.666667
0.000000,0.000000,0.000000,-48283.333333
0.000000,0.000000,0.000000,-48275.000000
0.000000,0.000000,0.000000,-48266.666667
0.000000,0.000000,0.000000,-48258.333333
0.000000,0.000000,0.000000,-48250.000000
0.000000,0.000000,0.000000,-48241.666667
0.000000,0.000000,0.000000,-48233.333333
0.000000,0.000000,0.000000,-48225.000000
0.000000,0.000000,0.000000,-48216.666667
0.000000,0.000000,0.000000,-48208.333333
