temp, val
20.900000, 144028983.290586
21.000000, 142660544.651159
21.100000, 141311516.343211
21.200000, 139981532.999201
21.300000, 138670237.808109
21.400000, 137377282.276096
21.500000, 136102325.994940
21.600000, 134845036.417955
21.700000, 133605088.643124
21.800000, 132382165.203183
21.900000, 131175955.862390
22.000000, 129986157.419754
22.100000, 128812473.518480
22.200000, 127654614.461409
22.300000, 126512297.032236
22.400000, 125385244.322307
22.500000, 124273185.562787
22.600000, 123175855.962019
22.700000, 122092996.547887
22.800000, 121024354.015006
22.900000, 119969680.576573
23.000000, 118928733.820720
23.100000, 117901276.571205
23.200000, 116887076.752305
23.300000, 115885907.257752
23.400000, 114897545.823582
23.500000, 113921774.904773
23.600000, 112958381.555517
23.700000, 112007157.313039
23.800000, 111067898.084812
